,week_num,week_obs,effects,effectiveness,needed,care,rollout,eagerness,effects_prop,effectiveness_prop,needed_prop,care_prop,rollout_prop,eagerness_prop
0,1,12960,507,378,524,260,1060,2729,18.57823378526933,13.851227555881275,19.20117259069256,9.527299377061194,38.84206669109564,21.057098765432098
1,2,15766,546,407,683,382,1363,3381,16.149068322981368,12.037858621709553,20.201123927832004,11.29843241644484,40.313516711032236,21.44488139033363
2,3,14552,481,469,694,381,1314,3339,14.405510631925726,14.046121593291405,20.784666067684935,11.410601976639713,39.35309973045822,22.945299615173173
3,4,16086,529,635,835,356,1453,3808,13.891806722689076,16.675420168067227,21.92752100840336,9.34873949579832,38.15651260504202,23.672758920800696
4,5,14165,487,423,730,417,1243,3300,14.757575757575758,12.818181818181818,22.12121212121212,12.636363636363637,37.666666666666664,23.29685845393576
5,6,12183,454,339,582,328,1134,2837,16.002819880155094,11.94924215720832,20.514628128304548,11.561508635882975,39.971801198449064,23.28654682754658
6,7,11656,375,364,537,289,1054,2619,14.3184421534937,13.898434516991218,20.50400916380298,11.034746086292477,40.24436807941962,22.4691146190803
7,8,15224,599,472,698,454,1434,3657,16.379546076018595,12.906754170084769,19.086683073557563,12.414547443259503,39.212469237079574,24.02128218602207
8,9,21385,702,467,936,1004,1867,4976,14.107717041800644,9.385048231511254,18.810289389067524,20.176848874598072,37.52009646302251,23.268646247369652
9,10,22723,839,524,864,818,1944,4989,16.81699739426739,10.503106835037082,17.318099819603127,16.396071356985367,38.96572459410704,21.95572767680324
10,11,413345,14581,14940,22316,11324,30470,93631,15.572833783682755,15.956253804829597,23.83398660699982,12.09428501244246,32.54264079204537,22.652021918736164
11,12,117188,5048,3545,5794,3856,7996,26239,19.238538054041694,13.510423415526507,22.081634208620756,14.695682000076223,30.473722321734822,22.390517800457385
12,13,222637,7888,8338,12613,7332,13208,49379,15.97440207375605,16.885720650478948,25.543247129346483,14.84841734340509,26.748212803013427,22.179152611650355
13,14,26769,1440,597,965,743,1764,5509,26.139045198765658,10.836812488654928,17.516790706117263,13.487021237974224,32.020330368487926,20.579775113003848
14,15,429261,18854,18079,28345,11101,30058,106437,17.71376495015831,16.985634694702032,26.6307768914945,10.429643826864718,28.240179636780443,24.795404194650807
