,week_num,week_obs,ineq,ineq_prop
0,1,12960,669,5.162037037037037
1,2,15766,910,5.77191424584549
2,3,14552,953,6.548927982407917
3,4,16086,1248,7.758299142111152
4,5,14165,1052,7.426756088951642
5,6,12183,831,6.820980054173849
6,7,11656,925,7.935827041866849
7,8,15224,1096,7.19915922228061
8,9,21385,1238,5.789104512508768
9,10,22723,1116,4.911323328785811
10,11,413345,25501,6.169422637264271
11,12,117188,5453,4.653206812984265
12,13,222637,11478,5.155477301616533
13,14,26769,1271,4.748029437035377
14,15,429261,25556,5.953487505270686
